Testing Kafka

8177568 records sent, 1635513.6 records/sec (15.60 MB/sec), 1.1 ms avg latency, 70.0 max latency.
8319754 records sent, 1663950.8 records/sec (15.87 MB/sec), 0.8 ms avg latency, 7.0 max latency.
8055979 records sent, 1611195.8 records/sec (15.37 MB/sec), 1.5 ms avg latency, 118.0 max latency.
8444860 records sent, 1688972.0 records/sec (16.11 MB/sec), 0.7 ms avg latency, 9.0 max latency.
8922548 records sent, 1784509.6 records/sec (17.02 MB/sec), 0.7 ms avg latency, 8.0 max latency.
8462324 records sent, 1692464.8 records/sec (16.14 MB/sec), 1.1 ms avg latency, 91.0 max latency.
8732270 records sent, 1746454.0 records/sec (16.66 MB/sec), 0.9 ms avg latency, 65.0 max latency.
8984318 records sent, 1796863.6 records/sec (17.14 MB/sec), 0.7 ms avg latency, 8.0 max latency.
8823568 records sent, 1764713.6 records/sec (16.83 MB/sec), 1.0 ms avg latency, 90.0 max latency.
8493535 records sent, 1698707.0 records/sec (16.20 MB/sec), 0.8 ms avg latency, 8.0 max latency.
8470881 records sent, 1694176.2 records/sec (16.16 MB/sec), 0.8 ms avg latency, 8.0 max latency.
8850848 records sent, 1770169.6 records/sec (16.88 MB/sec), 0.9 ms avg latency, 59.0 max latency.
8532837 records sent, 1706567.4 records/sec (16.28 MB/sec), 0.8 ms avg latency, 21.0 max latency.
7476746 records sent, 1495349.2 records/sec (14.26 MB/sec), 1.1 ms avg latency, 12.0 max latency.
6756926 records sent, 1351385.2 records/sec (12.89 MB/sec), 1.2 ms avg latency, 15.0 max latency.
6880653 records sent, 1376130.6 records/sec (13.12 MB/sec), 1.2 ms avg latency, 39.0 max latency.
6169493 records sent, 1233898.6 records/sec (11.77 MB/sec), 1.9 ms avg latency, 24.0 max latency.
8752553 records sent, 1750510.6 records/sec (16.69 MB/sec), 0.8 ms avg latency, 14.0 max latency.
8785821 records sent, 1757164.2 records/sec (16.76 MB/sec), 0.7 ms avg latency, 19.0 max latency.
8960389 records sent, 1792077.8 records/sec (17.09 MB/sec), 0.7 ms avg latency, 8.0 max latency.
9110319 records sent, 1822063.8 records/sec (17.38 MB/sec), 0.7 ms avg latency, 20.0 max latency.
9098894 records sent, 1819778.8 records/sec (17.35 MB/sec), 0.7 ms avg latency, 9.0 max latency.
9159845 records sent, 1831969.0 records/sec (17.47 MB/sec), 0.7 ms avg latency, 8.0 max latency.
9088436 records sent, 1817687.2 records/sec (17.33 MB/sec), 0.7 ms avg latency, 8.0 max latency.
7731145 records sent, 1546229.0 records/sec (14.75 MB/sec), 1.0 ms avg latency, 12.0 max latency.
7713118 records sent, 1542623.6 records/sec (14.71 MB/sec), 1.0 ms avg latency, 10.0 max latency.
8598699 records sent, 1719739.8 records/sec (16.40 MB/sec), 0.8 ms avg latency, 8.0 max latency.
8225238 records sent, 1645047.6 records/sec (15.69 MB/sec), 0.8 ms avg latency, 12.0 max latency.
8916953 records sent, 1783390.6 records/sec (17.01 MB/sec), 0.7 ms avg latency, 13.0 max latency.
8977186 records sent, 1795437.2 records/sec (17.12 MB/sec), 0.7 ms avg latency, 11.0 max latency.
7468261 records sent, 1493652.2 records/sec (14.24 MB/sec), 1.1 ms avg latency, 21.0 max latency.
7979769 records sent, 1595953.8 records/sec (15.22 MB/sec), 0.9 ms avg latency, 10.0 max latency.
8143973 records sent, 1628794.6 records/sec (15.53 MB/sec), 0.9 ms avg latency, 9.0 max latency.
9028094 records sent, 1805618.8 records/sec (17.22 MB/sec), 0.7 ms avg latency, 17.0 max latency.
9116887 records sent, 1823377.4 records/sec (17.39 MB/sec), 0.7 ms avg latency, 11.0 max latency.
8946184 records sent, 1789236.8 records/sec (17.06 MB/sec), 0.7 ms avg latency, 9.0 max latency.
8949212 records sent, 1789842.4 records/sec (17.07 MB/sec), 0.7 ms avg latency, 10.0 max latency.
9096651 records sent, 1819330.2 records/sec (17.35 MB/sec), 0.7 ms avg latency, 9.0 max latency.
8689423 records sent, 1737884.6 records/sec (16.57 MB/sec), 0.8 ms avg latency, 14.0 max latency.
8783569 records sent, 1756713.8 records/sec (16.75 MB/sec), 0.7 ms avg latency, 9.0 max latency.
8933814 records sent, 1786762.8 records/sec (17.04 MB/sec), 0.7 ms avg latency, 10.0 max latency.
