Testing Kafka

50030 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50010 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50020 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50010 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 15.0 max latency.
50010 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 3.0 max latency.
50060 records sent, 10012.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 10.0 max latency.
50000 records sent, 9998.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 12.0 max latency.
50020 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 19.0 max latency.
50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 6.0 max latency.
50030 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50010 records sent, 9998.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50020 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50020 records sent, 10004.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 13.0 max latency.
50030 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50010 records sent, 9998.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50000 records sent, 9998.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50020 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 17.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50010 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50010 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 10.0 max latency.
50030 records sent, 10004.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 19.0 max latency.
50010 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
49990 records sent, 9998.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 3.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50010 records sent, 9998.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50030 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 20.0 max latency.
50000 records sent, 9998.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50030 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 11.0 max latency.
50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50020 records sent, 10000.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50000 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50010 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 20.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
49990 records sent, 9998.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 2.0 max latency.
50030 records sent, 10002.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
49990 records sent, 9998.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50010 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50020 records sent, 10002.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 18.0 max latency.
50020 records sent, 10000.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
50030 records sent, 10004.0 records/sec (0.10 MB/sec), 0.7 ms avg latency, 2.0 max latency.
49990 records sent, 9998.0 records/sec (0.10 MB/sec), 0.8 ms avg latency, 15.0 max latency.
10000000 records sent, 9999.940000 records/sec (0.10 MB/sec), 1.59 ms avg latency, 1220.00 ms max latency, 1 ms 50th, 1 ms 95th, 1 ms 99th, 300 ms 99.9th.

Throughput Value 100000 Num-Records: 1000
1000 records sent, 5555.555556 records/sec (0.05 MB/sec), 3.12 ms avg latency, 152.00 ms max latency, 2 ms 50th, 9 ms 95th, 10 ms 99th, 152 ms 99.9th.

Throughput Value 100000 Num-Records: 10000
10000 records sent, 41152.263374 records/sec (0.39 MB/sec), 2.82 ms avg latency, 147.00 ms max latency, 3 ms 50th, 4 ms 95th, 6 ms 99th, 11 ms 99.9th.

Throughput Value 100000 Num-Records: 100000
100000 records sent, 99304.865938 records/sec (0.95 MB/sec), 1.60 ms avg latency, 152.00 ms max latency, 1 ms 50th, 5 ms 95th, 8 ms 99th, 9 ms 99.9th.

Throughput Value 100000 Num-Records: 1000000
499802 records sent, 99960.4 records/sec (0.95 MB/sec), 0.9 ms avg latency, 149.0 max latency.
1000000 records sent, 99920.063949 records/sec (0.95 MB/sec), 0.75 ms avg latency, 149.00 ms max latency, 1 ms 50th, 1 ms 95th, 4 ms 99th, 7 ms 99.9th.

Throughput Value 100000 Num-Records: 10000000
499902 records sent, 99960.4 records/sec (0.95 MB/sec), 1.0 ms avg latency, 150.0 max latency.
500344 records sent, 100068.8 records/sec (0.95 MB/sec), 0.7 ms avg latency, 5.0 max latency.
500556 records sent, 100091.2 records/sec (0.95 MB/sec), 0.6 ms avg latency, 11.0 max latency.
500200 records sent, 100020.0 records/sec (0.95 MB/sec), 0.6 ms avg latency, 15.0 max latency.
499923 records sent, 99984.6 records/sec (0.95 MB/sec), 0.6 ms avg latency, 11.0 max latency.
500098 records sent, 100019.6 records/sec (0.95 MB/sec), 0.6 ms avg latency, 11.0 max latency.
500079 records sent, 99995.8 records/sec (0.95 MB/sec), 0.6 ms avg latency, 11.0 max latency.
500099 records sent, 99999.8 records/sec (0.95 MB/sec), 0.6 ms avg latency, 11.0 max latency.
500201 records sent, 100020.2 records/sec (0.95 MB/sec), 0.6 ms avg latency, 11.0 max latency.
500700 records sent, 100140.0 records/sec (0.96 MB/sec), 0.7 ms avg latency, 20.0 max latency.
499950 records sent, 99990.0 records/sec (0.95 MB/sec), 0.6 ms avg latency, 11.0 max latency.
